Entity,Year,Male_Prevalence,Female_Prevalence
Mali,2018,2.410183689,3.133218433
Mali,2019,2.41547536,3.127168653
Malta,2016,5.08041882,8.633626333
Malta,2017,5.059464673,8.588504844
Malta,2018,5.063057028,8.589669131
Malta,2019,5.079582398,8.609295766
Marshall Islands,2016,3.183033312,5.141436134
Marshall Islands,2017,3.17177559,5.142098642
Marshall Islands,2018,3.17819068,5.149946558
Marshall Islands,2019,3.196036156,5.165458511
Mauritania,2016,2.449273674,3.164673069
Mauritania,2017,2.461074319,3.170957517
Mauritania,2018,2.462411981,3.171341727
Mauritania,2019,2.458853158,3.16847888
Mauritius,2016,2.84819332,5.038032627
Mauritius,2017,2.826041623,5.028299271
Mauritius,2018,2.83291266,5.025996719
Mauritius,2019,2.856993607,5.025588842
Mexico,2016,2.685429945,4.66584971
Mexico,2017,2.691576042,4.671404657
Mexico,2018,2.696107987,4.676077906
Mexico,2019,2.702557024,4.683902261
Micronesia (country),2016,3.186723871,5.142157109
Micronesia (country),2017,3.168883132,5.137944244
Micronesia (country),2018,3.172139695,5.149788463
Micronesia (country),2019,3.185861109,5.174763648
Middle East & North Africa (WB),2016,4.228729325,6.961789986
Middle East & North Africa (WB),2017,4.196513604,6.915552863
Middle East & North Africa (WB),2018,4.193150516,6.928611935
Middle East & North Africa (WB),2019,4.192743428,6.972583332
Moldova,2016,3.290770419,5.322881236
Moldova,2017,3.294056144,5.307783331
Moldova,2018,3.290707435,5.312928928
Moldova,2019,3.280963547,5.328598195
Monaco,2016,4.46263622,7.513865845
Monaco,2017,4.468575469,7.496635803
Monaco,2018,4.471537804,7.503965009
Monaco,2019,4.474485447,7.524708311
Mongolia,2016,1.610822386,2.598545253
Mongolia,2017,1.718804736,2.740301527
Mongolia,2018,1.728967616,2.753209501
Mongolia,2019,1.731921557,2.754589768
Montenegro,2016,2.858090802,4.932789043
Montenegro,2017,2.85464208,4.924454217
Montenegro,2018,2.854070338,4.934106501
Montenegro,2019,2.853384713,4.958161188
Morocco,2016,3.747393574,6.140614032
Morocco,2017,3.74982259,6.136688749
Morocco,2018,3.755006455,6.175238285
Morocco,2019,3.762157491,6.254891637
Mozambique,2016,3.292265574,4.774837019
Mozambique,2017,3.295969224,4.794455442
Mozambique,2018,3.308034313,4.790903993
Mozambique,2019,3.328769739,4.773609389
Myanmar,2016,2.875514072,5.073097872
Myanmar,2017,2.876624264,5.10102183
Myanmar,2018,2.891157562,5.113872973
Myanmar,2019,2.918255733,5.124907235
Namibia,2016,3.087444154,4.119296311
Namibia,2017,3.083896566,4.137947224
Namibia,2018,3.081141382,4.118952543
Namibia,2019,3.07523438,4.06817706
Nauru,2016,3.20597202,5.166981772
Nauru,2017,3.191286343,5.172068491
Nauru,2018,3.200565907,5.180438423
Nauru,2019,3.225482976,5.193649081
Nepal,2016,2.822469025,3.80331253
Nepal,2017,2.833543798,3.813282947
Nepal,2018,2.8400974,3.828464695
Nepal,2019,2.846096523,3.8518488
Netherlands,2016,5.761059523,9.245176171
Netherlands,2017,5.702836185,9.032084903
Netherlands,2018,5.708368454,9.031055454
Netherlands,2019,5.733432428,9.063595106
New Zealand,2016,5.798388303,10.11009528
New Zealand,2017,5.78911329,10.10183153
New Zealand,2018,5.785482624,10.10344635
New Zealand,2019,5.780816306,10.10457497
Nicaragua,2016,3.470897928,5.627546366
Nicaragua,2017,3.483864921,5.642827752
Nicaragua,2018,3.491036767,5.648996662
Nicaragua,2019,3.497029416,5.652878679
Niger,2016,2.607180469,3.391714292
Niger,2017,2.622831337,3.409168117
Niger,2018,2.623127881,3.408987142
Niger,2019,2.614812897,3.398072523
Nigeria,2016,2.624623725,3.409782554
Nigeria,2017,2.626570313,3.409717349
Nigeria,2018,2.624874806,3.407707825
Nigeria,2019,2.621337575,3.405092848
Niue,2016,3.225264572,5.166353777
Niue,2017,3.212005126,5.181497124
Niue,2018,3.219087535,5.187680237
Niue,2019,3.238519038,5.192868562
North America (WB),2016,4.149109083,6.823901945
North America (WB),2017,4.154340939,6.832100598
North America (WB),2018,4.260327413,7.038466977
North America (WB),2019,4.485009664,7.480649398
North Korea,2016,2.878708793,4.66121549
North Korea,2017,2.868742229,4.638661598
North Korea,2018,2.874682549,4.653369228
North Korea,2019,2.890168678,4.692620737
North Macedonia,2016,2.824994297,4.884406796
North Macedonia,2017,2.82509965,4.871369766
North Macedonia,2018,2.821942921,4.875991714
North Macedonia,2019,2.815398308,4.89102925
Northern Ireland,2016,5.212949385,8.801950219
Northern Ireland,2017,5.213695162,8.786386284
Northern Ireland,2018,5.211568811,8.785495418
Northern Ireland,2019,5.208183227,8.793539332
Northern Mariana Islands,2016,3.248983209,5.193247646
Northern Mariana Islands,2017,3.239717716,5.190915761
Northern Mariana Islands,2018,3.244823081,5.198066576
Northern Mariana Islands,2019,3.259750885,5.213483132
